Model,ImgType,Subject,Detector,Category,DDR_base,DDR_cat,ΔDDR,fisher_p,sig
flux,images,city_street,deep_fake_detector,Artist,1.0,1.0,0.0,1.0,
flux,images,city_street,deep_fake_detector,Atmosphere,1.0,1.0,0.0,1.0,
flux,images,city_street,deep_fake_detector,Medium,1.0,0.98,-0.02,1.0,
flux,images,city_street,deep_fake_detector,Movement,1.0,0.68,-0.32,0.0,†
flux,images,city_street,deep_fake_detector,Trending,1.0,1.0,0.0,1.0,
flux,images,person,deep_fake_detector,Artist,0.82,0.62,-0.2,0.044,†
flux,images,person,deep_fake_detector,Atmosphere,0.82,0.46,-0.36,0.0003,†
flux,images,person,deep_fake_detector,Medium,0.82,0.4,-0.42,0.0,†
flux,images,person,deep_fake_detector,Movement,0.82,0.56,-0.26,0.0089,†
flux,images,person,deep_fake_detector,Trending,0.82,0.3,-0.52,0.0,†
midjourney,images,city_street,deep_fake_detector,Artist,0.86,0.96,0.1,0.1595,
midjourney,images,city_street,deep_fake_detector,Atmosphere,0.86,1.0,0.14,0.0125,†
midjourney,images,city_street,deep_fake_detector,Medium,0.86,0.96,0.1,0.1595,
midjourney,images,city_street,deep_fake_detector,Movement,0.86,0.82,-0.04,0.7858,
midjourney,images,city_street,deep_fake_detector,Trending,0.86,0.9,0.04,0.7596,
midjourney,images,person,deep_fake_detector,Artist,0.22,0.44,0.22,0.0327,†
midjourney,images,person,deep_fake_detector,Atmosphere,0.22,0.36,0.14,0.1856,
midjourney,images,person,deep_fake_detector,Medium,0.22,0.38,0.16,0.1259,
midjourney,images,person,deep_fake_detector,Movement,0.22,0.26,0.04,0.8153,
midjourney,images,person,deep_fake_detector,Trending,0.22,0.42,0.2,0.0528,
sd35,images,city_street,deep_fake_detector,Artist,0.96,0.86,-0.1,0.1595,
sd35,images,city_street,deep_fake_detector,Atmosphere,0.96,0.84,-0.12,0.0916,
sd35,images,city_street,deep_fake_detector,Medium,0.96,1.0,0.04,0.4949,
sd35,images,city_street,deep_fake_detector,Movement,0.96,0.82,-0.14,0.0511,
sd35,images,city_street,deep_fake_detector,Trending,0.96,0.84,-0.12,0.0916,
sd35,images,person,deep_fake_detector,Artist,0.68,0.26,-0.42,0.0,†
sd35,images,person,deep_fake_detector,Atmosphere,0.68,0.46,-0.22,0.0428,†
sd35,images,person,deep_fake_detector,Medium,0.68,0.34,-0.34,0.0013,†
sd35,images,person,deep_fake_detector,Movement,0.68,0.36,-0.32,0.0025,†
sd35,images,person,deep_fake_detector,Trending,0.68,0.28,-0.4,0.0001,†
