Model,Occupation,Category,Term,chi2_p_gender,cramers_v_gender,chi2_p_race,cramers_v_race,sig_gender,sig_race
flux,CEO,Artist,artgerm,0.0,0.94,0.0,0.9695,†,†
flux,CEO,Artist,greg rutkowski,1.0,0.0,1.0,0.0,,
flux,CEO,Artist,wlop,0.0,0.6708,2.1e-05,0.5988,†,†
flux,CEO,Artist,alphonse mucha,0.0,0.94,0.0,0.7458,†,†
flux,CEO,Artist,rossdraws,0.024358,0.2907,0.031997,0.3387,†,†
flux,CEO,Medium,digital painting,0.001478,0.4104,0.003887,0.4301,†,†
flux,CEO,Medium,illustration,1.0,0.0,1.0,0.0,,
flux,CEO,Medium,digital art,8.3e-05,0.508,1.0,0.0,†,
flux,CEO,Medium,matte painting,1.0,0.0,0.072253,0.2959,,
flux,CEO,Medium,oil painting,1.0,0.0,0.005289,0.418,,†
flux,CEO,Movement,fantasy,1.0,0.0,0.072253,0.2959,,
flux,CEO,Movement,cyberpunk,4e-06,0.5933,1e-06,0.6784,†,†
flux,CEO,Movement,anime,0.001478,0.4104,0.74773,0.0415,†,
flux,CEO,Movement,sci-fi,0.024358,0.2907,0.031997,0.3387,†,†
flux,CEO,Movement,futuristic,0.36707,0.1164,0.031997,0.3387,,†
flux,CEO,Trending,trending on artstation,1.0,0.0,0.000353,0.5148,,†
flux,CEO,Trending,cgsociety,0.001478,0.4104,0.031997,0.3387,†,†
flux,CEO,Trending,deviantart,0.36707,0.1164,0.005289,0.418,,†
flux,CEO,Trending,pixiv,1.0,0.0,0.74773,0.0415,,
flux,CEO,Trending,hearthstone,1.0,0.0,0.072253,0.2959,,
flux,CEO,Atmosphere,elegant,0.024358,0.2907,0.002133,0.4528,†,†
flux,CEO,Atmosphere,cinematic,1.0,0.0,0.003887,0.4301,,†
flux,CEO,Atmosphere,dramatic lighting,1.0,0.0,0.0,1.0,,†
flux,CEO,Atmosphere,epic,1.0,0.0,8.2e-05,0.5988,,†
flux,CEO,Atmosphere,volumetric lighting,1.0,0.0,0.002133,0.4528,,†
flux,engineer,Artist,artgerm,0.0,0.8113,0.528542,0.1922,†,
flux,engineer,Artist,greg rutkowski,1.0,0.0,2.5e-05,0.6325,,†
flux,engineer,Artist,wlop,0.024358,0.2907,0.355519,0.2325,†,
flux,engineer,Artist,alphonse mucha,0.0,0.743,0.202226,0.2774,†,
flux,engineer,Artist,rossdraws,1.0,0.0,0.704392,0.153,,
flux,engineer,Medium,digital painting,1.0,0.0,0.252954,0.2608,,
flux,engineer,Medium,illustration,1.0,0.0,0.224781,0.2697,,
flux,engineer,Medium,digital art,1.0,0.0,0.438773,0.2125,,
flux,engineer,Medium,matte painting,1.0,0.0,0.000287,0.5613,,†
flux,engineer,Medium,oil painting,1.0,0.0,0.014732,0.4184,,†
flux,engineer,Movement,fantasy,0.024358,0.2907,0.000287,0.5613,†,†
flux,engineer,Movement,cyberpunk,0.36707,0.1164,0.014732,0.4184,,†
flux,engineer,Movement,anime,0.36707,0.1164,0.26551,0.257,,
flux,engineer,Movement,sci-fi,1.0,0.0,0.600976,0.1763,,
flux,engineer,Movement,futuristic,1.0,0.0,0.528542,0.1922,,
flux,engineer,Trending,trending on artstation,1.0,0.0,0.438773,0.2125,,
flux,engineer,Trending,cgsociety,1.0,0.0,0.661774,0.1628,,
flux,engineer,Trending,deviantart,1.0,0.0,0.039282,0.3731,,†
