Model,ImgType,Subject,Category,Detector,N,DDR
flux,images,city_street,Artist,deep_fake_detector,50,1.0
flux,images,city_street,Atmosphere,deep_fake_detector,50,1.0
flux,images,city_street,Medium,deep_fake_detector,50,0.98
flux,images,city_street,Movement,deep_fake_detector,50,0.68
flux,images,city_street,Trending,deep_fake_detector,50,1.0
flux,images,city_street,baseline,deep_fake_detector,50,1.0
flux,images,person,Artist,deep_fake_detector,50,0.62
flux,images,person,Atmosphere,deep_fake_detector,50,0.46
flux,images,person,Medium,deep_fake_detector,50,0.4
flux,images,person,Movement,deep_fake_detector,50,0.56
flux,images,person,Trending,deep_fake_detector,50,0.3
flux,images,person,baseline,deep_fake_detector,50,0.82
midjourney,images,city_street,Artist,deep_fake_detector,50,0.96
midjourney,images,city_street,Atmosphere,deep_fake_detector,50,1.0
midjourney,images,city_street,Medium,deep_fake_detector,50,0.96
midjourney,images,city_street,Movement,deep_fake_detector,50,0.82
midjourney,images,city_street,Trending,deep_fake_detector,50,0.9
midjourney,images,city_street,baseline,deep_fake_detector,50,0.86
midjourney,images,person,Artist,deep_fake_detector,50,0.44
midjourney,images,person,Atmosphere,deep_fake_detector,50,0.36
midjourney,images,person,Medium,deep_fake_detector,50,0.38
midjourney,images,person,Movement,deep_fake_detector,50,0.26
midjourney,images,person,Trending,deep_fake_detector,50,0.42
midjourney,images,person,baseline,deep_fake_detector,50,0.22
sd35,images,city_street,Artist,deep_fake_detector,50,0.86
sd35,images,city_street,Atmosphere,deep_fake_detector,50,0.84
sd35,images,city_street,Medium,deep_fake_detector,50,1.0
sd35,images,city_street,Movement,deep_fake_detector,50,0.82
sd35,images,city_street,Trending,deep_fake_detector,50,0.84
sd35,images,city_street,baseline,deep_fake_detector,50,0.96
sd35,images,person,Artist,deep_fake_detector,50,0.26
sd35,images,person,Atmosphere,deep_fake_detector,50,0.46
sd35,images,person,Medium,deep_fake_detector,50,0.34
sd35,images,person,Movement,deep_fake_detector,50,0.36
sd35,images,person,Trending,deep_fake_detector,50,0.28
sd35,images,person,baseline,deep_fake_detector,50,0.68
